Soil_Z,Cluster,Mortality_pct,Year,Age,Stems,DBH_cm,Height_m,Kg_pertree,km_per_ha,Stems_tosum1ha,Biomass_Mgkm,Volume_m3km,Roots_Mgkm,Fineroots_Mgkm
BLK_,BLK_1,0,2016,1,610,0.122228466,0,0.008196721,6.199675663,3099.837832,0.000806494,0.87517141,0.000806494,0.000362922
BLK_,BLK_1,0,2017,2,610,0.427164644,1.215685368,0.086909093,4.305439211,2152.719605,0.012313389,2.834525107,0.029920969,0.013464436
BLK_,BLK_1,0,2018,3,610,0.98821795,1.895201325,0.423067451,3.704292001,1852.146,0.069668145,5.672346451,0.113118192,0.050903187
BLK_,BLK_1,0,2019,4,610,1.905487299,2.68295002,1.460449696,3.329395869,1664.697935,0.267578361,9.656687018,0.310216253,0.139597314
BLK_,BLK_1,0,2020,5,610,3.091647863,3.46642518,3.639974356,3.064936721,1532.468361,0.724447026,14.35263661,0.662046683,0.297921008
BLK_,BLK_1,0,2021,6,610,4.336479187,4.146428585,6.892613888,2.864528769,1432.264385,1.467778758,19.12027504,1.134896186,0.510703284
BLK_,BLK_1,0,2022,7,610,5.546061039,4.723219395,10.96483803,2.705344798,1352.672399,2.472347137,23.743333,1.684752478,0.758138615
BLK_,BLK_1,0,2023,8,610,6.602399826,5.179907799,15.23626709,2.574621615,1287.310807,3.609898674,27.93195659,2.219569957,0.998806481
BLK_,BLK_1,0,2024,9,610,7.776499748,5.648748875,20.74957085,2.464568767,1232.284383,5.135680545,32.44305815,2.901342233,1.305604005
BLK_,BLK_1,0,2025,10,610,8.856646538,6.05138731,26.52132034,2.370115373,1185.057686,6.825830432,36.70159851,3.568043376,1.605619519
BLK_,BLK_1,0,2026,11,610,9.824986458,6.393087387,32.25723648,2.287794124,1143.897062,8.600823885,40.66582791,4.181904599,1.881857069
BLK_,BLK_1,0,2027,12,610,10.79141235,6.718639374,38.50476074,2.215139916,1107.569958,10.60335057,44.63148589,4.830368242,2.173665709
BLK_,BLK_1,0,2028,13,610,11.70407486,7.013697147,44.8793869,2.150343784,1075.171892,12.73118608,48.45913773,5.451542078,2.453193935
BLK_,BLK_1,0,2029,14,610,12.56750488,7.283019543,51.33067322,2.092042961,1046.02148,14.96705,52.1600619,6.038958685,2.717531408
BLK_,BLK_1,0,2030,15,610,13.37784672,7.527965546,57.75427246,2.03918787,1019.593935,17.27653823,55.72258262,6.585692653,2.963561694
BLK_,BLK_1,0,2031,16,610,14.15882015,7.757507801,64.28072357,1.990954732,995.4773658,19.69469234,59.2092704,7.10513871,3.197312419
BLK_,BLK_1,0,2032,17,610,14.96731472,7.988945007,71.3819809,1.946686343,973.3431717,22.36775771,62.7737796,7.684618931,3.458078519
BLK_,BLK_1,0,2033,18,610,15.73366928,8.202945709,78.43497467,1.905850871,952.9254356,25.10444808,66.22681502,8.214795602,3.696658021
BLK_,BLK_1,0,2034,19,610,16.44054413,8.396027565,85.21673584,1.868012494,934.0062468,27.82754834,69.51959873,8.659179608,3.896630823
BLK_,BLK_1,0,2035,20,610,17.12686157,8.579790115,92.05354309,1.832810068,916.4050338,30.63746841,72.75715682,9.082566025,4.087154711
BLK_,BLK_1,0,2036,21,610,17.78770828,8.75348568,98.87046814,1.799941336,899.970668,33.50719388,75.92526218,9.471250178,4.26206258
BLK_,BLK_1,0,2037,22,610,18.40309525,8.912520409,105.4238281,1.769151051,884.5755256,36.3499409,78.96751373,9.788538478,4.404842315
BLK_,BLK_1,0,2038,23,610,19.02763367,9.071382523,112.2763901,1.740221912,870.110956,39.35624435,82.03479128,10.1411527,4.563518714
BLK_,BLK_1,0,2039,24,610,19.65947723,9.229624748,119.4151154,1.712967557,856.4837784,42.52457718,85.12246636,10.5183688,4.733265959
BLK_,BLK_1,0,2040,25,610,20.23661423,9.372086525,126.1161728,1.687227083,843.6135414,45.59603453,88.05623522,10.79312156,4.8569047
BLK_,BLK_1,0,2041,26,610,20.87963676,9.528577805,133.7844086,1.662860712,831.4303558,49.07716583,91.17554439,11.2236194,5.05062873
BLK_,BLK_1,0,2042,27,610,21.45350075,9.666333199,140.807251,1.639746328,819.873164,52.38153357,94.09914816,11.50619493,5.177787719
BLK_,BLK_1,0,2043,28,610,22.03962708,9.805253983,148.1542511,1.617776689,808.8883446,55.86314537,97.05705823,11.83415714,5.325370713
BLK_,BLK_1,0,2044,29,610,22.62595749,9.942494392,155.6792755,1.596857159,798.4285796,59.46953755,100.0153026,12.17287038,5.477791672
BLK_,BLK_1,0,2045,30,610,23.19340897,10.07373047,163.1286163,1.576903851,788.4519255,63.10369006,102.919156,12.47231791,5.61254306
BLK_,BLK_1,0,2046,31,610,23.72113991,10.19443035,170.203186,1.557842095,778.9210475,66.64599909,105.7079707,12.68254535,5.707145408
BLK_,BLK_1,0,2047,32,610,24.29954147,10.32527733,178.118988,1.539605168,769.8025839,70.57171753,108.6424524,13.04499818,5.870249183
BLK_,BLK_1,0,2048,33,610,24.84399414,10.44711113,185.7245026,1.522133229,761.0666143,74.4297191,111.4783075,13.32308818,5.995389681
BLK_,BLK_1,0,2049,34,610,25.33403206,10.55569839,192.6975708,1.505372426,752.6862131,78.08401181,114.1548592,13.45836714,6.056265213
BLK_,BLK_1,0,2050,35,610,25.8681221,10.67292786,200.4348907,1.489274144,744.6370718,82.09722928,116.958895,13.74449344,6.185022047
BLK_,BLK_1,0,2051,36,610,26.38203049,10.78465652,208.0148315,1.473794358,736.897179,86.09684825,119.7031193,13.9820748,6.29193366
BLK_,BLK_1,0,2052,37,610,26.89006996,10.89410591,215.6380768,1.458893091,729.4465457,90.16371871,122.4292448,14.2160886,6.39723987
BLK_,BLK_1,0,2053,38,610,27.38756561,11.00034618,223.2279663,1.444533943,722.2669715,94.26504658,125.1233727,14.42609018,6.491740582
BLK_,BLK_1,0,2054,39,610,27.89739799,11.10828209,231.1339722,1.430683684,715.3418421,98.54849395,127.8532337,14.69381932,6.612218696
BLK_,BLK_1,0,2055,40,610,28.34199333,11.20165157,238.1338043,1.417311909,708.6559546,102.4909329,130.3881808,14.75282312,6.638770406
BLK_,BLK_1,0,2056,41,610,28.83627701,11.30465126,246.0310822,1.404390732,702.1953659,106.8641084,133.0699533,15.00438815,6.751974666
BLK_,BLK_1,0,2057,42,610,29.32394218,11.4054594,253.9411621,1.391894521,695.9472605,111.2901188,135.7312163,15.24268326,6.859207465
BLK_,BLK_1,0,2058,43,610,29.79528809,11.50214767,261.6982727,1.379799671,689.8998353,115.6950167,138.3427114,15.43787488,6.947043694
BLK_,BLK_1,0,2059,44,610,30.26662254,11.59811592,269.5647888,1.368084396,684.0421979,120.1932624,140.9532705,15.64513292,7.040309812
BLK_,BLK_1,0,2060,45,610,30.73763657,11.69331932,277.5352783,1.356728555,678.3642777,124.7828935,143.5620441,15.86252851,7.138137828
BLK_,BLK_1,0,2061,46,610,31.2373333,11.79357243,286.1103516,1.345713494,672.8567471,129.6912859,146.2570897,16.19983544,7.289925947
BLK_,BLK_1,0,2062,47,610,31.67664146,11.88108826,293.7503662,1.335021905,667.5109525,134.22081,148.7682447,16.30717669,7.338229511
BLK_,BLK_1,0,2063,48,610,32.09140015,11.96319008,301.0502014,1.324637703,662.3188516,138.6345999,151.2033255,16.33896817,7.352535677
BLK_,BLK_1,0,2064,49,610,32.52427292,12.04834747,308.758606,1.314545918,657.2729592,143.275895,153.6923516,16.47001464,7.411506589
BLK_,BLK_1,0,2065,50,610,32.98227692,12.13787079,317.0142517,1.304732596,652.3662981,148.2132832,156.2574444,16.71091578,7.519912102
BLK_,BLK_1,0,2066,51,610,33.38952255,12.21698189,324.4408569,1.29518471,647.592355,152.8036229,158.6657043,16.76378978,7.543705401
BLK_,BLK_1,0,2067,52,610,33.82086563,12.30028057,332.394989,1.285890083,642.9450415,157.6813917,161.1469719,16.93355582,7.62010012
BLK_,BLK_1,0,2068,53,610,34.26460648,12.38545322,340.6722107,1.276837317,638.4186587,162.7537392,163.6657185,17.16178501,7.722803256
BLK_,BLK_1,0,2069,54,610,34.67650604,12.46405125,348.44104,1.268015732,634.0078658,167.6233439,166.0850401,17.26613729,7.76976178
BLK_,BLK_1,0,2070,55,610,35.07352829,12.53939533,356.0072021,1.259415302,629.7076508,172.4327135,168.4570031,17.3250289,7.796263004
BLK_,BLK_1,0,2071,56,610,35.48085403,12.61627865,363.848999,1.251026611,625.5133057,177.4126045,170.8598394,17.44284944,7.849282249
BLK_,BLK_1,0,2072,57,610,35.88179016,12.69155121,371.6461792,1.242840804,621.4204019,182.4080561,173.2416779,17.54676118,7.89604253
BLK_,BLK_1,0,2073,58,610,36.28966141,12.76772118,379.657959,1.23484954,617.42477,187.5462123,175.644208,17.70259102,7.966165957
BLK_,BLK_1,0,2074,59,610,36.65890121,12.83633041,386.9801025,1.22704496,613.5224801,192.3791477,177.9244048,17.68718118,7.95923153
BLK_,BLK_1,0,2075,60,610,37.04633713,12.90797043,394.7337341,1.219419648,609.709824,197.460792,180.260513,17.78102021,8.001459096
BLK_,BLK_1,15,2016,1,518,0.133290365,0,0.009652509,7.293736075,3646.868037,0.00068552,0.694782552,0.00068552,0.000308484
BLK_,BLK_1,15,2017,2,518,0.479633808,1.284439087,0.108145237,5.065222601,2532.611301,0.01105958,2.293272058,0.025333965,0.011400284
BLK_,BLK_1,15,2018,3,518,1.103260994,1.996319413,0.52078104,4.357990589,2178.995294,0.061901141,4.572204447,0.094894585,0.042702563
BLK_,BLK_1,15,2019,4,518,2.104321241,2.809886694,1.761272311,3.916936317,1958.468158,0.23292159,7.729184498,0.257551683,0.115898257
BLK_,BLK_1,15,2020,5,518,3.38699913,3.615058184,4.323841572,3.605807908,1802.903954,0.621150622,11.42831512,0.546051358,0.245723111
BLK_,BLK_1,15,2021,6,518,4.732031822,4.315189838,8.126805305,3.370033846,1685.016923,1.249152182,15.18566692,0.934259241,0.420416658
BLK_,BLK_1,15,2022,7,518,6.04280138,4.911523342,12.89136696,3.182758586,1591.379293,2.098094406,18.83891994,1.388038315,0.624617242
BLK_,BLK_1,15,2023,8,518,7.210511208,5.393057823,17.99211311,3.028966606,1514.483303,3.076928779,22.19577492,1.841235968,0.828556185
BLK_,BLK_1,15,2024,9,518,8.492447853,5.881080627,24.50098228,2.899492667,1449.746333,4.377148012,25.77986946,2.411696409,1.085263384
BLK_,BLK_1,15,2025,10,518,9.673693657,6.300849438,31.32634163,2.788371027,1394.185513,5.81954303,29.16701775,2.971787107,1.337304198
BLK_,BLK_1,15,2026,11,518,10.73398876,6.657497406,38.11904907,2.691522499,1345.761249,7.336244503,32.32253744,3.489375594,1.570219017
BLK_,BLK_1,15,2027,12,518,11.79362106,6.99770546,45.52950287,2.60604696,1303.02348,9.049830518,35.48196511,4.037949688,1.81707736
BLK_,BLK_1,15,2028,13,518,12.79525566,7.306292057,53.10008621,2.529816216,1264.908108,10.87266485,38.53316023,4.56505599,2.054275195
BLK_,BLK_1,15,2029,14,518,13.74344921,7.588096619,60.7686615,2.461227013,1230.613506,12.78962305,41.48435879,5.064808751,2.279163938
BLK_,BLK_1,15,2030,15,518,14.63369942,7.844461918,68.40936279,2.399044553,1199.522277,14.77090099,44.32574501,5.531010938,2.488954922
BLK_,BLK_1,15,2031,16,518,15.49187565,8.084730148,76.17596436,2.342299684,1171.149842,16.84632749,47.10696898,5.974704472,2.688617012
BLK_,BLK_1,15,2032,17,518,16.38039207,8.326979637,84.62934875,2.290219228,1145.109614,19.1414007,49.95060498,6.469721039,2.911374467
BLK_,BLK_1,15,2033,18,518,17.22261429,8.550959587,93.02709961,2.242177495,1121.088748,21.49162499,52.70523849,6.923276431,3.115474394
BLK_,BLK_1,15,2034,19,518,17.99943352,8.753018379,101.1028671,2.197661757,1098.830879,23.83045705,55.33180507,7.304228504,3.286902827
BLK_,BLK_1,15,2035,20,518,18.75359535,8.945292473,109.2446136,2.156247138,1078.123569,26.24407378,57.91416822,7.667419291,3.450338681
BLK_,BLK_1,15,2036,21,518,19.47968483,9.127000809,117.3627319,2.117578042,1058.789021,28.7091635,60.44093088,8.001140871,3.600513392
BLK_,BLK_1,15,2037,22,518,20.15573692,9.29334259,125.1667709,2.081354178,1040.677089,31.1510588,62.867045,8.274171228,3.723377053
BLK_,BLK_1,15,2038,23,518,20.84174728,9.459471703,133.3266754,2.047319896,1023.659948,33.7334779,65.31298972,8.577092004,3.859691402
BLK_,BLK_1,15,2039,24,518,21.53567505,9.624918938,141.8267365,2.015255949,1007.627975,36.45504492,67.77503844,8.900787543,4.005354394
BLK_,BLK_1,15,2040,25,518,22.16942215,9.773839951,149.8049622,1.984973039,992.4865193,39.09321007,70.1140619,9.137301261,4.111785568
BLK_,BLK_1,15,2041,26,518,22.87540817,9.937396049,158.9338226,1.95630672,978.1533598,42.08323567,72.60096529,9.505981702,4.277691766
BLK_,BLK_1,15,2042,27,518,23.50535774,10.08134174,167.2934418,1.929113327,964.5566635,44.92115508,74.93151327,9.748830532,4.386973739
BLK_,BLK_1,15,2043,28,518,24.1486721,10.22647953,176.0379486,1.903266693,951.6333466,47.911128,77.2892487,10.03008428,4.513537924
BLK_,BLK_1,15,2044,29,518,24.79211044,10.36983681,184.9933014,1.878655481,939.3277407,51.00803775,79.6470619,10.32031758,4.644142909
BLK_,BLK_1,15,2045,30,518,25.4147377,10.50689983,193.8575439,1.855181001,927.5905005,54.12852522,81.96131602,10.57702832,4.759662746
BLK_,BLK_1,15,2046,31,518,25.99370003,10.63293934,202.2749023,1.832755406,916.377703,57.16987467,84.1836785,10.75776336,4.840993511
BLK_,BLK_1,15,2047,32,518,26.6281662,10.76955318,211.6920471,1.811300197,905.6500987,60.54020407,86.52201043,11.06772275,4.980475238
BLK_,BLK_1,15,2048,33,518,27.22530937,10.89673901,220.7390137,1.790744975,895.3724874,63.85208852,88.78155376,11.30584574,5.087630582
BLK_,BLK_1,15,2049,34,518,27.76270676,11.01008129,229.0327301,1.771026384,885.5131918,66.98881322,90.91398706,11.42245827,5.14010622
BLK_,BLK_1,15,2050,35,518,28.34834099,11.13242817,238.2344666,1.752087228,876.0436139,70.43339764,93.14788152,11.66715208,5.250218435
BLK_,BLK_1,15,2051,36,518,28.91178131,11.24902058,247.2480774,1.733875715,866.9378576,73.86602322,95.33397646,11.87046813,5.341710657
BLK_,BLK_1,15,2052,37,518,29.4687233,11.36322212,256.3122253,1.716344813,858.1724067,77.35609112,97.50552132,12.07064112,5.431788504
BLK_,BLK_1,15,2053,38,518,30.01405144,11.47406101,265.3357849,1.699451698,849.7258488,80.87545717,99.65145275,12.2503012,5.512635538
BLK_,BLK_1,15,2054,39,518,30.57284355,11.58665848,274.7342224,1.683157275,841.5786377,84.55081872,101.8257258,12.47893145,5.615519152
BLK_,BLK_1,15,2055,40,518,31.0600853,11.68405056,283.054657,1.667425775,833.7128877,87.93333261,103.8446467,12.53006202,5.638527907
BLK_,BLK_1,15,2056,41,518,31.60173607,11.79147816,292.440979,1.65222439,826.1121951,91.68514251,105.9803995,12.744781,5.735151449
BLK_,BLK_1,15,2057,42,518,32.1360817,11.89661121,301.8416443,1.637522966,818.761483,95.48199933,108.0997111,12.94814471,5.826665121
BLK_,BLK_1,15,2058,43,518,32.65250397,11.99743843,311.0596619,1.62329373,811.6468651,99.2604782,110.179293,13.11480086,5.901660385
BLK_,BLK_1,15,2059,44,518,33.16886902,12.09750652,320.4069214,1.609511054,804.755527,103.118761,112.2580338,13.29164829,5.981241732
BLK_,BLK_1,15,2060,45,518,33.68484116,12.19676971,329.8768616,1.596151242,798.0756208,107.0551568,114.3352599,13.47705282,6.064673771
BLK_,BLK_1,15,2061,46,518,34.23218918,12.30128956,340.0643005,1.583192346,791.5961731,111.2646283,116.4810679,13.76432606,6.193946727
BLK_,BLK_1,15,2062,47,518,34.71335602,12.39252377,349.1401062,1.570614006,785.3070029,115.1489602,118.4804078,13.85608051,6.235236231
BLK_,BLK_1,15,2063,48,518,35.16760254,12.47810936,357.8111267,1.558397298,779.1986489,118.9338361,120.4191222,13.88357188,6.247607345
BLK_,BLK_1,15,2064,49,518,35.64165497,12.56687355,366.9668274,1.54652461,773.262305,122.9135463,122.4007014,13.99538684,6.297924076
BLK_,BLK_1,15,2065,50,518,36.14320374,12.66018295,376.7718506,1.534979525,767.4897625,127.1468566,124.4427446,14.20053899,6.390242545
BLK_,BLK_1,15,2066,51,518,36.58913422,12.74263477,385.5915527,1.523746718,761.8733588,131.0824313,126.3599067,14.24583377,6.410625197
BLK_,BLK_1,15,2067,52,518,37.06142426,12.82944679,395.0371399,1.512811862,756.4059312,135.2641658,128.3351008,14.390454,6.475704301
BLK_,BLK_1,15,2068,53,518,37.5472641,12.91820812,404.8657227,1.50216155,751.080775,139.6124429,130.3400498,14.58473836,6.563132264
BLK_,BLK_1,15,2069,54,518,37.99821472,13.00011253,414.0900269,1.491783214,745.8916068,143.7867281,132.265823,14.673701,6.603165449
BLK_,BLK_1,15,2070,55,518,38.43285751,13.07862282,423.0731201,1.481665061,740.8325304,147.9091863,134.153858,14.72399775,6.625798988
BLK_,BLK_1,15,2071,56,518,38.87875366,13.15873241,432.3829041,1.471796013,735.8980066,152.1775716,136.0664002,14.82436171,6.670962771
BLK_,BLK_1,15,2072,57,518,39.31763458,13.23716164,441.6391907,1.462165652,731.0828258,156.4590856,137.9621817,14.912883,6.710797352
BLK_,BLK_1,15,2073,58,518,39.76408386,13.31652164,451.1496582,1.452764165,726.3820824,160.8626694,139.8743693,15.04551622,6.770482301
BLK_,BLK_1,15,2074,59,518,40.16823196,13.38800144,459.8410034,1.443582306,721.7911531,165.0045478,141.6891911,15.03257925,6.764660663
BLK_,BLK_1,15,2075,60,518,40.59227753,13.46263695,469.0440369,1.434611351,717.3056753,169.3593274,143.5484414,15.11248848,6.800619816
BLK_,BLK_1,30,2016,1,427,0.147659868,0,0.011709602,8.856679519,4428.33976,0.000564546,0.527806364,0.000564546,0.000254046
BLK_,BLK_1,30,2017,2,427,0.549718618,1.370337009,0.139885947,6.150627444,3075.313722,0.009711415,1.780932572,0.020761623,0.009342731
BLK_,BLK_1,30,2018,3,427,1.254693985,2.121090889,0.663835824,5.291845715,2645.922858,0.053565036,3.532919245,0.076881632,0.034596734
BLK_,BLK_1,30,2019,4,427,2.361799002,2.964731693,2.189889193,4.756279813,2378.139906,0.196599605,5.92148514,0.206024283,0.092710928
BLK_,BLK_1,30,2020,5,427,3.764977217,3.794871807,5.279236317,4.378481031,2189.240515,0.514843814,8.700996629,0.433227847,0.194952531
BLK_,BLK_1,30,2021,6,427,5.234781742,4.518267632,9.832533836,4.092183956,2046.091978,1.025978287,11.52557562,0.73922082,0.332649369
BLK_,BLK_1,30,2022,7,427,6.672035694,5.137458801,15.5409174,3.864778283,1932.389141,1.717038185,14.28060106,1.098962737,0.494533232
BLK_,BLK_1,30,2023,8,427,7.991034985,5.652274132,21.84293556,3.678030878,1839.015439,2.535849753,16.86585176,1.47252591,0.66263666
BLK_,BLK_1,30,2024,9,427,9.409478188,6.162969589,29.73140335,3.520812524,1760.406262,3.605789692,19.58624031,1.932306679,0.869538005
BLK_,BLK_1,30,2025,10,427,10.71939945,6.603225231,38.02133942,3.385879104,1692.939552,4.794947429,22.1611273,2.385948453,1.073676804
BLK_,BLK_1,30,2026,11,427,11.89887905,6.978407383,46.29931641,3.26827732,1634.13866,6.048999345,24.56480573,2.807898358,1.263554261
BLK_,BLK_1,30,2027,12,427,13.07818508,7.336403847,55.33738708,3.164485594,1582.242797,7.466952841,26.97219038,3.256096142,1.465243264
BLK_,BLK_1,30,2028,13,427,14.19449425,7.661519527,64.58667755,3.071919691,1535.959845,8.97761494,29.29906281,3.688458414,1.659806286
BLK_,BLK_1,30,2029,14,427,15.25227356,7.958653927,73.96805573,2.988632801,1494.316401,10.56816378,31.55093601,4.099771586,1.844897214
BLK_,BLK_1,30,2030,15,427,16.24608612,8.229101181,83.32476044,2.913125529,1456.562764,12.21357377,33.71978805,4.484628595,2.018082868
BLK_,BLK_1,30,2031,16,427,17.20451546,8.482636452,92.84270477,2.844221045,1422.110523,13.93838071,35.84322648,4.851759222,2.18329165
BLK_,BLK_1,30,2032,17,427,18.19710922,8.738296509,103.2082367,2.780980491,1390.490245,15.8468993,38.01483844,5.26151574,2.367682083
BLK_,BLK_1,30,2033,18,427,19.1381321,8.974678993,113.5099182,2.722644102,1361.322051,17.80208196,40.11857229,5.637700112,2.536965051
BLK_,BLK_1,30,2034,19,427,20.00612831,9.187911987,123.4194107,2.668589277,1334.294638,19.74829522,42.12439813,5.954533681,2.679540156
BLK_,BLK_1,30,2035,20,427,20.84879112,9.3907938,133.4117126,2.618300096,1309.150048,21.75716949,44.09642654,6.2568991,2.815604595
BLK_,BLK_1,30,2036,21,427,21.66003799,9.582497597,143.3761292,2.571344766,1285.672383,23.80917887,46.0258855,6.535088102,2.940789646
BLK_,BLK_1,30,2037,22,427,22.415308,9.757958412,152.9555969,2.527358645,1263.679322,25.84201532,47.8782842,6.763353448,3.043509052
BLK_,BLK_1,30,2038,23,427,23.18161201,9.933160782,162.9720764,2.486031303,1243.015651,27.99203499,49.745777,7.016119674,3.157253853
BLK_,BLK_1,30,2039,24,427,23.95665359,10.1076107,173.4059143,2.44709651,1223.548255,30.25803356,51.62547862,7.285879222,3.27864565
BLK_,BLK_1,30,2040,25,427,24.6643734,10.26460075,183.1988373,2.410324404,1205.162202,32.45451339,53.41098488,7.483794142,3.367707364
BLK_,BLK_1,30,2041,26,427,25.45263863,10.43698311,194.4034424,2.375515302,1187.757651,34.94411031,55.30942291,7.79032434,3.505645953
BLK_,BLK_1,30,2042,27,427,26.15589142,10.58866501,204.6630859,2.342494754,1171.247377,37.30686557,57.08819231,7.993164991,3.596924246
BLK_,BLK_1,30,2043,28,427,26.87394714,10.74157238,215.394165,2.311109556,1155.554778,39.79617123,58.88760499,8.227459561,3.702356803
BLK_,BLK_1,30,2044,29,427,27.59202194,10.8925724,226.3829346,2.281224513,1140.612257,42.3743982,60.68693094,8.468992885,3.811046798
BLK_,BLK_1,30,2045,30,427,28.28675652,11.03691483,237.2587891,2.252719787,1126.359894,44.97208451,62.4528346,8.682777129,3.907249708
BLK_,BLK_1,30,2046,31,427,28.93266869,11.16962337,247.5852356,2.225488707,1112.744354,47.50367786,64.14841817,8.833858953,3.975236529
BLK_,BLK_1,30,2047,32,427,29.64039421,11.31344128,259.1370239,2.199435954,1099.717977,50.30903756,65.93243567,9.09117902,4.091030559
BLK_,BLK_1,30,2048,33,427,30.30638313,11.44730949,270.2333984,2.174476041,1087.23802,53.06550362,67.65615201,9.289212318,4.180145543
BLK_,BLK_1,30,2049,34,427,30.905653,11.56658745,280.4048462,2.150532037,1075.266019,55.67592888,69.28271058,9.387057236,4.224175756
BLK_,BLK_1,30,2050,35,427,31.55862617,11.69532204,291.6886597,2.127534491,1063.767245,58.54244136,70.98660705,9.590227219,4.315602249
BLK_,BLK_1,30,2051,36,427,32.18676758,11.81798363,302.7405701,2.105420511,1052.710256,61.39876939,72.65390431,9.759201018,4.391640458
BLK_,BLK_1,30,2052,37,427,32.80758286,11.93811226,313.8532715,2.084132988,1042.066494,64.302682,74.30998859,9.925467633,4.466460435
BLK_,BLK_1,30,2053,38,427,33.41537476,12.05468941,324.9150391,2.063619919,1031.809959,67.23075343,75.94642571,10.07473086,4.533628889
BLK_,BLK_1,30,2054,39,427,34.03809738,12.17309952,336.4351501,2.043833835,1021.916917,70.28840211,77.60438108,10.26421446,4.618896505
BLK_,BLK_1,30,2055,40,427,34.58102798,12.27550697,346.6329041,2.024731299,1012.365649,73.10216894,79.14374058,10.30743445,4.638345502
BLK_,BLK_1,30,2056,41,427,35.18451691,12.38845444,358.1359558,2.006272474,1003.136237,76.22297377,80.77212549,10.48527352,4.718373083
BLK_,BLK_1,30,2057,42,427,35.77980042,12.49897575,369.6553955,1.988420744,994.2103722,79.38101669,82.38787804,10.65367773,4.794154977
BLK_,BLK_1,30,2058,43,427,36.35505676,12.60496044,380.9500122,1.971142387,985.5711934,82.52354355,83.97324695,10.79177547,4.856298962
BLK_,BLK_1,30,2059,44,427,36.93019485,12.71013641,392.4018555,1.95440628,977.2031399,85.73222264,85.55789199,10.9381933,4.922186987
BLK_,BLK_1,30,2060,45,427,37.50484085,12.81445503,404.0029907,1.93818365,969.0918252,89.00563984,87.14130153,11.09159115,4.991216018
BLK_,BLK_1,30,2061,46,427,38.11437225,12.92428875,416.4819031,1.922447849,961.2239245,92.50590028,88.77690881,11.32881731,5.097967791
BLK_,BLK_1,30,2062,47,427,38.65015411,13.02015209,427.5981445,1.90717415,953.5870749,95.73557159,90.30079199,11.40497553,5.132238988
BLK_,BLK_1,30,2063,48,427,39.15591812,13.11007214,438.217804,1.892339576,946.1697879,98.88235692,91.77840364,11.42815968,5.142671856
BLK_,BLK_1,30,2064,49,427,39.68369675,13.20332527,449.4301453,1.877922741,938.9613703,102.1909329,93.28862363,11.5207372,5.184331738
BLK_,BLK_1,30,2065,50,427,40.24204254,13.30134583,461.4367371,1.863903709,931.9518544,105.7101212,94.84485695,11.69013545,5.260560953
BLK_,BLK_1,30,2066,51,427,40.73843384,13.38795471,472.2359314,1.850263871,925.1319357,108.9816116,96.30586684,11.72784801,5.277531604
BLK_,BLK_1,30,2067,52,427,41.26413345,13.47913742,483.8006287,1.836985833,918.4929164,112.4575166,97.81103887,11.84732002,5.331294008
BLK_,BLK_1,30,2068,53,427,41.80487442,13.57236004,495.833374,1.824053311,912.0266553,116.0716333,99.33882231,12.00765783,5.403446022
BLK_,BLK_1,30,2069,54,427,42.30674744,13.65837574,507.1254883,1.811451045,905.7255225,119.5409491,100.8062282,12.0812301,5.436553547
BLK_,BLK_1,30,2070,55,427,42.79044342,13.74082184,518.121582,1.799164717,899.5823583,122.9670154,102.2448349,12.1229319,5.455319353
BLK_,BLK_1,30,2071,56,427,43.28663254,13.82494354,529.5168457,1.787180873,893.5904366,126.5141626,103.7020624,12.20583948,5.492627765
BLK_,BLK_1,30,2072,57,427,43.77498627,13.90729523,540.8458862,1.775486863,887.7434313,130.0720369,105.1464752,12.27897089,5.525536899
BLK_,BLK_1,30,2073,58,427,44.27173615,13.99062061,552.4852905,1.764070772,882.0353858,133.7311492,106.6033367,12.38840825,5.574783712
BLK_,BLK_1,30,2074,59,427,44.72138977,14.06566715,563.121582,1.752921372,876.4606859,137.172669,107.9859976,12.37794532,5.570075392
BLK_,BLK_1,30,2075,60,427,45.1931572,14.14402294,574.3833618,1.742028069,871.0140343,140.7908948,109.402455,12.44392591,5.599766661
BLK_,BLK_1,50,2016,1,305,0.176483005,0,0.016393442,12.39935133,6199.675663,0.000403247,0.327563655,0.000403247,0.000181461
BLK_,BLK_1,50,2017,2,305,0.695998669,1.53259027,0.218337581,8.610878422,4305.439211,0.007733585,1.147312481,0.014693051,0.006611873
BLK_,BLK_1,50,2018,3,305,1.56353128,2.352369785,1.005533338,7.408584001,3704.292001,0.041396259,2.252675052,0.053264613,0.023969076
BLK_,BLK_1,50,2019,4,305,2.874317884,3.247066736,3.172237873,6.658791738,3329.395869,0.145301513,3.718245031,0.13945771,0.062755969
BLK_,BLK_1,50,2020,5,305,4.504299641,4.118804455,7.404575348,6.129873443,3064.936721,0.368424496,5.403374724,0.288755296,0.129939883
BLK_,BLK_1,50,2021,6,305,6.207713127,4.881097317,13.56325436,5.729057539,2864.528769,0.722072085,7.116662826,0.489804529,0.220412038
BLK_,BLK_1,50,2022,7,305,7.882772923,5.539113998,21.28788567,5.410689596,2705.344798,1.199995877,8.796617569,0.728255393,0.327714927
BLK_,BLK_1,50,2023,8,305,9.467226982,6.10309267,30.07665825,5.149243229,2574.621615,1.781500796,10.40768897,0.986063505,0.443728577
